now, expect, last_fin, now-expect, now-last_fin
8492695664049756, 8492695663738778, 8492695654044758, 310978, 10004998
8492695674020871, 8492695673738778, 8492695664074317, 282093, 9946554
8492695684047390, 8492695683738778, 8492695674045562, 308612, 10001828
8492695694021174, 8492695693738778, 8492695684071897, 282396, 9949277
8492695704059839, 8492695703738778, 8492695694045905, 321061, 10013934
8492695714020366, 8492695713738778, 8492695704084867, 281588, 9935499
8492695724053910, 8492695723738778, 8492695714045183, 315132, 10008727
8492695734027388, 8492695733738778, 8492695724078668, 288610, 9948720
8492695744051981, 8492695743738778, 8492695734051925, 313203, 10000056
8492695754024465, 8492695753738778, 8492695744076448, 285687, 9948017
8492695764050957, 8492695763738778, 8492695754049409, 312179, 10001548
8492695774023066, 8492695773738778, 8492695764075168, 284288, 9947898
8492695784052768, 8492695783738778, 8492695774047977, 313990, 10004791
8492695794023812, 8492695793738778, 8492695784077312, 285034, 9946500
8492695804053725, 8492695803738778, 8492695794048559, 314947, 10005166
8492695814024303, 8492695813738778, 8492695804078173, 285525, 9946130
8492695824051858, 8492695823738778, 8492695814049033, 313080, 10002825
8492695834023713, 8492695833738778, 8492695824076316, 284935, 9947397
8492695844055012, 8492695843738778, 8492695834048614, 316234, 10006398
8492695854026603, 8492695853738778, 8492695844079583, 287825, 9947020
8492695864054153, 8492695863738778, 8492695854051367, 315375, 10002786
8492695874025527, 8492695873738778, 8492695864078597, 286749, 9946930
8492695884058576, 8492695883738778, 8492695874050418, 319798, 10008158
8492695894026962, 8492695893738778, 8492695884083033, 288184, 9943929
8492695904056233, 8492695903738778, 8492695894051703, 317455, 10004530
8492695914027910, 8492695913738778, 8492695904080574, 289132, 9947336
8492695924056349, 8492695923738778, 8492695914052647, 317571, 10003702
8492695934027117, 8492695933738778, 8492695924080843, 288339, 9946274
8492695944061783, 8492695943738778, 8492695934051945, 323005, 10009838
8492695954028593, 8492695953738778, 8492695944086387, 289815, 9942206
8492695964060114, 8492695963738778, 8492695954053467, 321336, 10006647
8492695974031444, 8492695973738778, 8492695964084638, 292666, 9946806
8492695984057899, 8492695983738778, 8492695974056345, 319121, 10001554
8492695994030370, 8492695993738778, 8492695984082420, 291592, 9947950
8492696004057227, 8492696003738778, 8492695994055228, 318449, 10001999
8492696014029768, 8492696013738778, 8492696004081801, 290990, 9947967
8492696024071346, 8492696023738778, 8492696014054762, 332568, 10016584
8492696034051483, 8492696033738778, 8492696024108380, 312705, 9943103
8492696044103849, 8492696043738778, 8492696034080867, 365071, 10022982
8492696054049438, 8492696053738778, 8492696044137180, 310660, 9912258
8492696064080289, 8492696063738778, 8492696054080122, 341511, 10000167
8492696074033199, 8492696073738778, 8492696064108367, 294421, 9924832
8492696084065607, 8492696083738778, 8492696074059076, 326829, 10006531
8492696094031067, 8492696093738778, 8492696084090965, 292289, 9940102
8492696104074069, 8492696103738778, 8492696094055994, 335291, 10018075
8492696114031668, 8492696113738778, 8492696104099066, 292890, 9932602
8492696124071457, 8492696123738778, 8492696114056596, 332679, 10014861
8492696134032663, 8492696133738778, 8492696124096678, 293885, 9935985
8492696144074832, 8492696143738778, 8492696134057414, 336054, 10017418
8492696154033065, 8492696153738778, 8492696144100052, 294287, 9933013
8492696164063072, 8492696163738778, 8492696154057839, 324294, 10005233
8492696174035182, 8492696173738778, 8492696164087819, 296404, 9947363
8492696184063578, 8492696183738778, 8492696174059993, 324800, 10003585
8492696194038345, 8492696193738778, 8492696184088102, 299567, 9950243
8492696204065766, 8492696203738778, 8492696194063069, 326988, 10002697
8492696214035598, 8492696213738778, 8492696204090220, 296820, 9945378
8492696224068027, 8492696223738778, 8492696214060256, 329249, 10007771
8492696234039448, 8492696233738778, 8492696224092568, 300670, 9946880
8492696244065218, 8492696243738778, 8492696234064319, 326440, 10000899
8492696254036645, 8492696253738778, 8492696244089816, 297867, 9946829
8492696264068724, 8492696263738778, 8492696254061552, 329946, 10007172
8492696274037212, 8492696273738778, 8492696264093345, 298434, 9943867
8492696284067321, 8492696283738778, 8492696274062163, 328543, 10005158
8492696294038605, 8492696293738778, 8492696284091835, 299827, 9946770
8492696304143476, 8492696303738778, 8492696294063489, 404698, 10079987
8492696314039673, 8492696313738778, 8492696304177193, 300895, 9862480
8492696324087912, 8492696323738778, 8492696314064957, 349134, 10022955
8492696334037688, 8492696333738778, 8492696324117966, 298910, 9919722
8492696344085030, 8492696343738778, 8492696334062568, 346252, 10022462
8492696354035863, 8492696353738778, 8492696344114311, 297085, 9921552
8492696364080528, 8492696363738778, 8492696354060030, 341750, 10020498
8492696374035374, 8492696373738778, 8492696364109255, 296596, 9926119
8492696384071846, 8492696383738778, 8492696374059168, 333068, 10012678
8492696394034376, 8492696393738778, 8492696384094913, 295598, 9939463
8492696404063013, 8492696403738778, 8492696394057296, 324235, 10005717
8492696414034957, 8492696413738778, 8492696404086271, 296179, 9948686
8492696424064435, 8492696423738778, 8492696414058435, 325657, 10006000
8492696434037422, 8492696433738778, 8492696424088169, 298644, 9949253
8492696444069457, 8492696443738778, 8492696434061216, 330679, 10008241
8492696454042696, 8492696453738778, 8492696444093452, 303918, 9949244
8492696464070408, 8492696463738778, 8492696454067307, 331630, 10003101
8492696474042859, 8492696473738778, 8492696464094829, 304081, 9948030
8492696484073796, 8492696483738778, 8492696474067489, 335018, 10006307
8492696494049349, 8492696493738778, 8492696484098050, 310571, 9951299
8492696504073538, 8492696503738778, 8492696494073550, 334760, 9999988
8492696514045934, 8492696513738778, 8492696504098196, 307156, 9947738
8492696524073623, 8492696523738778, 8492696514070781, 334845, 10002842
8492696534046763, 8492696533738778, 8492696524098133, 307985, 9948630
8492696544076298, 8492696543738778, 8492696534071664, 337520, 10004634
8492696554044854, 8492696553738778, 8492696544100918, 306076, 9943936
8492696564076312, 8492696563738778, 8492696554069589, 337534, 10006723
8492696574046612, 8492696573738778, 8492696564100959, 307834, 9945653
8492696584062064, 8492696583738778, 8492696574071523, 323286, 9990541
8492696594048159, 8492696593738778, 8492696584084152, 309381, 9964007
8492696604078425, 8492696603738778, 8492696594072730, 339647, 10005695
8492696614047005, 8492696613738778, 8492696604120163, 308227, 9926842
8492696624081654, 8492696623738778, 8492696614071793, 342876, 10009861
8492696634048049, 8492696633738778, 8492696624106585, 309271, 9941464
8492696644076571, 8492696643738778, 8492696634073017, 337793, 10003554
8492696654049215, 8492696653738778, 8492696644101272, 310437, 9947943
8492696664079672, 8492696663738778, 8492696654073976, 340894, 10005696
8492696674049123, 8492696673738778, 8492696664104233, 310345, 9944890
8492696684077175, 8492696683738778, 8492696674073870, 338397, 10003305
8492696694051413, 8492696693738778, 8492696684101822, 312635, 9949591
8492696704077222, 8492696703738778, 8492696694076341, 338444, 10000881
8492696714051610, 8492696713738778, 8492696704101880, 312832, 9949730
8492696724081276, 8492696723738778, 8492696714076397, 342498, 10004879
8492696734051143, 8492696733738778, 8492696724106011, 312365, 9945132
8492696744078199, 8492696743738778, 8492696734075927, 339421, 10002272
8492696754053219, 8492696753738778, 8492696744102830, 314441, 9950389
8492696764093960, 8492696763738778, 8492696754077964, 355182, 10015996
8492696774051604, 8492696773738778, 8492696764118598, 312826, 9933006
8492696784080352, 8492696783738778, 8492696774076571, 341574, 10003781
8492696794056241, 8492696793738778, 8492696784105080, 317463, 9951161
8492696804080953, 8492696803738778, 8492696794080985, 342175, 9999968
8492696814022469, 8492696813738778, 8492696804105581, 283691, 9916888
8492696824081813, 8492696823738778, 8492696814046797, 343035, 10035016
8492696834053102, 8492696833738778, 8492696824106490, 314324, 9946612
8492696844093787, 8492696843738778, 8492696834078009, 355009, 10015778
8492696854055550, 8492696853738778, 8492696844118964, 316772, 9936586
8492696864084348, 8492696863738778, 8492696854080354, 345570, 10003994
8492696874053991, 8492696873738778, 8492696864109295, 315213, 9944696
8492696884084460, 8492696883738778, 8492696874078852, 345682, 10005608
8492696894056763, 8492696893738778, 8492696884109228, 317985, 9947535
8492696904084094, 8492696903738778, 8492696894081603, 345316, 10002491
8492696914056781, 8492696913738778, 8492696904108711, 318003, 9948070
8492696924084408, 8492696923738778, 8492696914081552, 345630, 10002856
8492696934060145, 8492696933738778, 8492696924109232, 321367, 9950913
8492696944083951, 8492696943738778, 8492696934089983, 345173, 9993968
8492696954058733, 8492696953738778, 8492696944111175, 319955, 9947558
8492696964087862, 8492696963738778, 8492696954083387, 349084, 10004475
8492696974058035, 8492696973738778, 8492696964112620, 319257, 9945415
8492696984087404, 8492696983738778, 8492696974082713, 348626, 10004691
8492696994059716, 8492696993738778, 8492696984112175, 320938, 9947541
8492697004086348, 8492697003738778, 8492696994084513, 347570, 10001835
8492697014060132, 8492697013738778, 8492697004111179, 321354, 9948953
8492697024088486, 8492697023738778, 8492697014084846, 349708, 10003640
8492697034060593, 8492697033738778, 8492697024113750, 321815, 9946843
8492697044105778, 8492697043738778, 8492697034086117, 367000, 10019661
8492697054097822, 8492697053738778, 8492697044134572, 359044, 9963250
8492697064108700, 8492697063738778, 8492697054128093, 369922, 9980607
8492697074059749, 8492697073738778, 8492697064136124, 320971, 9923625
8492697084096711, 8492697083738778, 8492697074084773, 357933, 10011938
8492697094062751, 8492697093738778, 8492697084121922, 323973, 9940829
8492697104071752, 8492697103738778, 8492697094088332, 332974, 9983420
8492697114059159, 8492697113738778, 8492697104096906, 320381, 9962253
8492697124089040, 8492697123738778, 8492697114084006, 350262, 10005034
8492697134059801, 8492697133738778, 8492697124113824, 321023, 9945977
8492697144089729, 8492697143738778, 8492697134084648, 350951, 10005081
8492697154063269, 8492697153738778, 8492697144114520, 324491, 9948749
8492697164091594, 8492697163738778, 8492697154087839, 352816, 10003755
8492697174065263, 8492697173738778, 8492697164116524, 326485, 9948739
8492697184091448, 8492697183738778, 8492697174090047, 352670, 10001401
8492697194064512, 8492697193738778, 8492697184130029, 325734, 9934483
8492697204091440, 8492697203738778, 8492697194089226, 352662, 10002214
8492697214068497, 8492697213738778, 8492697204116144, 329719, 9952353
8492697224095017, 8492697223738778, 8492697214093318, 356239, 10001699
8492697234069514, 8492697233738778, 8492697224119638, 330736, 9949876
8492697244093810, 8492697243738778, 8492697234094182, 355032, 9999628
8492697254066638, 8492697253738778, 8492697244118317, 327860, 9948321
8492697264091390, 8492697263738778, 8492697254091262, 352612, 10000128
8492697274067077, 8492697273738778, 8492697264115971, 328299, 9951106
8492697284096676, 8492697283738778, 8492697274091768, 357898, 10004908
8492697294065888, 8492697293738778, 8492697284121134, 327110, 9944754
8492697304093701, 8492697303738778, 8492697294090696, 354923, 10003005
8492697314067849, 8492697313738778, 8492697304118368, 329071, 9949481
8492697324097311, 8492697323738778, 8492697314092500, 358533, 10004811
8492697334067919, 8492697333738778, 8492697324121769, 329141, 9946150
8492697344095690, 8492697343738778, 8492697334092479, 356912, 10003211
